experiment date,,140521,,140521,,140521,,140521,,140522,,140522,,140522
page ref,,76,,76,,76,,76,,77,,77,,77
wavelength,,315,,315,,315,,315,,315,,340,,315-340
file name,,140521 kinetics,,140521 kinetics,,140521 kinetics,,140521 kinetics,,140522 buffer kinetics,,140522 buffer kinetics,,140522 buffer kinetics
variable name,,uvkbufferpshort,,uvkaminep,,uvkinsulinplate,,uvkinsulinp,,uvkbufferp315,,uvkbufferp340,,uvkbufferpcomb
figure name,,fig:uvkbufferpshort,,fig:uvkaminep,,fig:uvkinsulinplate,,fig:uvkinsulinp,,fig:uvkbufferp315,,fig:uvkbufferp340,,fig:uvkbufferpcomb
interval time,,0.4,,0.4,,0.4,,0.4,,8,,8,,8
reactant,,buffer,,amine,,insulin,,insulin,,buffer,,buffer,,buffer
iad,,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia}
iad conc.,,0.000319914,,0.000319914,,0.000319914,,0.000319914,,0.00025763,,0.00025763,,0.00025763
solvent,,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq)
k regression value,,0.002353635,,,,0.002449614,,0.003489425,,0.000634543,,0.000569475,,0.000580896
reliability feeling,,decent,,,,decent,,poor,,okay,,"okay, similar to 315",,"okay, similar to 315 and 340"
minimum,,1.05,,0.65,,1.1,,1.1,,0.7,,0.2,,0
half life,,294.500652,,#DIV/0!,,282.9617936,,198.6422579,,1092.356176,,1217.168431,,1193.237984
notes,time(s),buffer adding pdmia,time(s),buffer adding pdmia adding amine,time(s),insulin adding pdmia,time(s),insulin adding pdmia again,Time (s),bicarb adding PDMIA-002 - RawDataWl1,Time (s),bicarb adding pdmia RawDataWl2 ...,Time (s),Manipulated ...
,94,1.1338,94,0.793,94,1.191,94,1.1985,1880,0.777,1880,0.5312,1880,0.2458
,94.4,1.1336,94.4,0.7929,94.4,1.1909,94.4,1.1988,1888,0.7772,1888,0.5317,1888,0.2455
,94.8,1.1329,94.8,0.793,94.8,1.191,94.8,1.1987,1896,0.7767,1896,0.5325,1896,0.2442
,95.2,1.1339,95.2,0.7928,95.2,1.1906,95.2,1.198,1904,0.7764,1904,0.5328,1904,0.2436
,95.6,1.1335,95.6,0.7933,95.6,1.1908,95.6,1.1985,1912,0.7768,1912,0.5331,1912,0.2437
,96,1.1339,96,0.7933,96,1.1913,96,1.1984,1920,0.776,1920,0.5333,1920,0.2427
,96.4,1.1342,96.4,0.7935,96.4,1.19,96.4,1.1977,1928,0.7764,1928,0.5338,1928,0.2427
,96.8,1.1336,96.8,0.7936,96.8,1.1908,96.8,1.197,1936,0.7761,1936,0.5343,1936,0.2418
,97.2,1.1334,97.2,0.7938,97.2,1.1895,97.2,1.1979,1944,0.7762,1944,0.5348,1944,0.2414
,97.6,1.1329,97.6,0.7937,97.6,1.1903,97.6,1.1971,1952,0.7761,1952,0.5352,1952,0.2409
,98,1.1335,98,0.7938,98,1.1903,98,1.1972,1960,0.776,1960,0.5357,1960,0.2402
,98.4,1.1331,98.4,0.794,98.4,1.1906,98.4,1.1973,1968,0.7755,1968,0.5361,1968,0.2394
,98.8,1.1333,98.8,0.7942,98.8,1.19,98.8,1.1975,1976,0.7758,1976,0.5365,1976,0.2392
,99.2,1.1329,99.2,0.7942,99.2,1.1893,99.2,1.1973,1984,0.7755,1984,0.5374,1984,0.238
,99.6,1.1326,99.6,0.7941,99.6,1.1892,99.6,1.1967,1992,0.7752,1992,0.5376,1992,0.2376
,100,1.1335,100,0.794,100,1.1899,100,1.1969,2000,0.7752,2000,0.5383,2000,0.237
,100.4,1.1326,100.4,0.7942,100.4,1.1896,100.4,1.1972,2008,0.7757,2008,0.5386,2008,0.2371
,100.8,1.132,100.8,0.7943,100.8,1.1898,100.8,1.1963,2016,0.7755,2016,0.5389,2016,0.2366
,101.2,1.133,101.2,0.7944,101.2,1.1901,101.2,1.1966,2024,0.7752,2024,0.5394,2024,0.2358
,101.6,1.1336,101.6,0.7946,101.6,1.1889,101.6,1.1966,2032,0.775,2032,0.5397,2032,0.2354
,102,1.1327,102,0.7948,102,1.1904,102,1.1966,2040,0.7752,2040,0.5401,2040,0.2351
,102.4,1.1326,102.4,0.7949,102.4,1.1888,102.4,1.1956,2048,0.7752,2048,0.5407,2048,0.2345
,102.8,1.1327,102.8,0.7951,102.8,1.1894,102.8,1.1962,2056,0.7749,2056,0.5413,2056,0.2336
,103.2,1.1321,103.2,0.7946,103.2,1.1894,103.2,1.1968,2064,0.7751,2064,0.5415,2064,0.2336
,103.6,1.1323,103.6,0.7951,103.6,1.1895,103.6,1.196,2072,0.775,2072,0.5419,2072,0.2332
,104,1.1322,104,0.7948,104,1.1886,104,1.196,2080,0.7748,2080,0.5423,2080,0.2325
,104.4,1.132,104.4,0.7955,104.4,1.189,104.4,1.1951,2088,0.7751,2088,0.5429,2088,0.2323
,104.8,1.1325,104.8,0.795,104.8,1.1895,104.8,1.196,2096,0.7749,2096,0.5431,2096,0.2317
,105.2,1.1325,105.2,0.7955,105.2,1.1879,105.2,1.1954,2104,0.7748,2104,0.5435,2104,0.2314
,105.6,1.1314,105.6,0.7955,105.6,1.1884,105.6,1.196,2112,0.774,2112,0.544,2112,0.23
,106,1.1325,106,0.7952,106,1.1882,106,1.195,2120,0.7744,2120,0.5443,2120,0.2301
,106.4,1.1315,106.4,0.7951,106.4,1.1886,106.4,1.1962,2128,0.774,2128,0.5444,2128,0.2296
,106.8,1.1319,106.8,0.7959,106.8,1.188,106.8,1.1956,2136,0.7746,2136,0.5454,2136,0.2292
,107.2,1.1316,107.2,0.7958,107.2,1.1885,107.2,1.1952,2144,0.7742,2144,0.5457,2144,0.2285
,107.6,1.132,107.6,0.7957,107.6,1.1888,107.6,1.1955,2152,0.7735,2152,0.5461,2152,0.2274
,108,1.1315,108,0.7957,108,1.1885,108,1.1951,2160,0.7743,2160,0.5462,2160,0.2281
,108.4,1.1326,108.4,0.796,108.4,1.188,108.4,1.1955,2168,0.7737,2168,0.5466,2168,0.2271
,108.8,1.1324,108.8,0.7963,108.8,1.1878,108.8,1.1943,2176,0.7744,2176,0.5473,2176,0.2271
,109.2,1.1311,109.2,0.7962,109.2,1.1877,109.2,1.1952,2184,0.7736,2184,0.5476,2184,0.2259
,109.6,1.1314,109.6,0.7964,109.6,1.1874,109.6,1.1948,2192,0.7734,2192,0.548,2192,0.2254
,110,1.1314,110,0.7966,110,1.1878,110,1.1946,2200,0.7734,2200,0.5487,2200,0.2247
,110.4,1.1316,110.4,0.7966,110.4,1.1878,110.4,1.1944,2208,0.7729,2208,0.5486,2208,0.2243
,110.8,1.1313,110.8,0.7961,110.8,1.1876,110.8,1.1943,2216,0.7729,2216,0.5488,2216,0.2241
,111.2,1.131,111.2,0.7965,111.2,1.1881,111.2,1.1951,2224,0.773,2224,0.5495,2224,0.2234
,111.6,1.1314,111.6,0.7965,111.6,1.1873,111.6,1.1944,2232,0.7729,2232,0.5498,2232,0.2231
,112,1.1313,112,0.7966,112,1.1878,112,1.1945,2240,0.7728,2240,0.55,2240,0.2227
,112.4,1.1317,112.4,0.7967,112.4,1.1871,112.4,1.1942,2248,0.7727,2248,0.5507,2248,0.222
,112.8,1.1312,112.8,0.7967,112.8,1.1875,112.8,1.1941,2256,0.7727,2256,0.5512,2256,0.2215
,113.2,1.1306,113.2,0.7969,113.2,1.1878,113.2,1.1936,2264,0.7724,2264,0.5514,2264,0.221
,113.6,1.1309,113.6,0.7967,113.6,1.1877,113.6,1.1934,2272,0.7724,2272,0.5522,2272,0.2202
,114,1.1316,114,0.7971,114,1.1869,114,1.195,2280,0.7724,2280,0.5524,2280,0.2199
,114.4,1.1312,114.4,0.7972,114.4,1.187,114.4,1.1937,2288,0.7726,2288,0.5529,2288,0.2197
,114.8,1.1306,114.8,0.7965,114.8,1.1871,114.8,1.194,2296,0.7724,2296,0.5536,2296,0.2188
,115.2,1.13,115.2,0.7972,115.2,1.1874,115.2,1.1942,2304,0.772,2304,0.5538,2304,0.2182
,115.6,1.1307,115.6,0.7973,115.6,1.1872,115.6,1.1943,2312,0.7723,2312,0.5537,2312,0.2186
,116,1.1302,116,0.7974,116,1.1875,116,1.1938,2320,0.7716,2320,0.5544,2320,0.2172
,116.4,1.1304,116.4,0.7973,116.4,1.1876,116.4,1.1942,2328,0.7717,2328,0.555,2328,0.2167
,116.8,1.1308,116.8,0.7974,116.8,1.1869,116.8,1.1938,2336,0.7711,2336,0.5551,2336,0.216
,117.2,1.1308,117.2,0.7976,117.2,1.1866,117.2,1.1937,2344,0.7714,2344,0.5549,2344,0.2166
,117.6,1.1308,117.6,0.7977,117.6,1.1868,117.6,1.1936,2352,0.7717,2352,0.5559,2352,0.2158
,118,1.1304,118,0.7975,118,1.1877,118,1.1933,2360,0.7717,2360,0.5562,2360,0.2154
,118.4,1.1307,118.4,0.7975,118.4,1.1868,118.4,1.1931,2368,0.7716,2368,0.5561,2368,0.2155
,118.8,1.13,118.8,0.7972,118.8,1.1869,118.8,1.1936,2376,0.7716,2376,0.5565,2376,0.2151
,119.2,1.1303,119.2,0.7976,119.2,1.1868,119.2,1.1937,2384,0.7715,2384,0.5575,2384,0.214
,119.6,1.1301,119.6,0.798,119.6,1.1859,119.6,1.193,2392,0.7712,2392,0.5574,2392,0.2139
,120,1.1301,120,0.7979,120,1.1864,120,1.1924,2400,0.7713,2400,0.5579,2400,0.2134
,120.4,1.1304,120.4,0.7982,120.4,1.1862,120.4,1.1927,2408,0.7712,2408,0.5583,2408,0.2128
,120.8,1.1305,120.8,0.7976,120.8,1.1872,120.8,1.1929,2416,0.7712,2416,0.5582,2416,0.213
,121.2,1.1306,121.2,0.798,121.2,1.186,121.2,1.193,2424,0.7715,2424,0.5587,2424,0.2128
,121.6,1.1302,121.6,0.7985,121.6,1.1849,121.6,1.1927,2432,0.771,2432,0.5589,2432,0.2122
,122,1.1297,122,0.7984,122,1.1863,122,1.1926,2440,0.7708,2440,0.5592,2440,0.2115
,122.4,1.1306,122.4,0.7983,122.4,1.186,122.4,1.1935,2448,0.7706,2448,0.5598,2448,0.2108
,122.8,1.1299,122.8,0.7984,122.8,1.1857,122.8,1.1923,2456,0.7708,2456,0.56,2456,0.2108
,123.2,1.1301,123.2,0.7981,123.2,1.1859,123.2,1.1919,2464,0.7712,2464,0.5601,2464,0.211
,123.6,1.1296,123.6,0.7985,123.6,1.1849,123.6,1.1921,2472,0.7711,2472,0.5607,2472,0.2104
,124,1.1302,124,0.7984,124,1.1851,124,1.192,2480,0.7702,2480,0.5605,2480,0.2097
,124.4,1.1293,124.4,0.7986,124.4,1.1853,124.4,1.1912,2488,0.7708,2488,0.5613,2488,0.2095
,124.8,1.1289,124.8,0.7986,124.8,1.1857,124.8,1.1917,2496,0.7704,2496,0.5614,2496,0.209
,125.2,1.1292,125.2,0.7983,125.2,1.1849,125.2,1.1914,2504,0.7701,2504,0.5618,2504,0.2083
,125.6,1.1298,125.6,0.7986,125.6,1.1856,125.6,1.1922,2512,0.7708,2512,0.5617,2512,0.2091
,126,1.13,126,0.7986,126,1.1856,126,1.1919,2520,0.7706,2520,0.5624,2520,0.2083
,126.4,1.1296,126.4,0.799,126.4,1.1854,126.4,1.1914,2528,0.7699,2528,0.5625,2528,0.2075
,126.8,1.1292,126.8,0.7988,126.8,1.1855,126.8,1.1921,2536,0.77,2536,0.5632,2536,0.2068
,127.2,1.1293,127.2,0.7988,127.2,1.185,127.2,1.1909,2544,0.7704,2544,0.5631,2544,0.2072
,127.6,1.1287,127.6,0.7989,127.6,1.1856,127.6,1.1911,2552,0.7697,2552,0.5632,2552,0.2065
,128,1.1299,128,0.7988,128,1.1845,128,1.1914,2560,0.7697,2560,0.5638,2560,0.206
,128.4,1.1301,128.4,0.799,128.4,1.1849,128.4,1.1917,2568,0.7697,2568,0.5641,2568,0.2056
,128.8,1.1297,128.8,0.799,128.8,1.1856,128.8,1.1909,2576,0.7695,2576,0.5643,2576,0.2052
,129.2,1.1293,129.2,0.799,129.2,1.1847,129.2,1.1912,2584,0.7695,2584,0.5647,2584,0.2048
,129.6,1.1294,129.6,0.799,129.6,1.1846,129.6,1.1907,2592,0.7695,2592,0.5651,2592,0.2045
,130,1.1291,130,0.7991,130,1.1842,130,1.1912,2600,0.7698,2600,0.5648,2600,0.205
,130.4,1.1294,130.4,0.7994,130.4,1.1848,130.4,1.1901,2608,0.7692,2608,0.5657,2608,0.2034
,130.8,1.1293,130.8,0.7993,130.8,1.1842,130.8,1.1907,2616,0.7697,2616,0.566,2616,0.2038
,131.2,1.1284,131.2,0.7995,131.2,1.1846,131.2,1.1918,2624,0.7688,2624,0.5658,2624,0.2029
,131.6,1.129,131.6,0.7993,131.6,1.1844,131.6,1.1899,2632,0.7693,2632,0.5663,2632,0.203
,132,1.1287,132,0.7992,132,1.1846,132,1.19,2640,0.7691,2640,0.5665,2640,0.2026
